ID,Source,Title,Content,Timestamp,Ours,Voicelab,Clarin,Textclass,Ner
385,25343,forummedyczne.edu.pl,Ellaone mozliwosc ciazy miekka szyjka macicy,"Witam, z 22 na 23 pazdziernika zdarzyla sie wpadka. Pekla nam prezerwatywa (15 dzien cyklu). Ostatni okres mialam 9 pazdziernika. Cykle mam nieregularne. Ostatni trwal 32 dni poprzedni 30 a wczesniejszy 36. 4 godziny po wypadku zarzylam ellaone. Wedlug kalendarza dni plodne rozpoczely sie 24. Badalam szyjke macicy jest miekka rozpulchniona i otwarta. Wyglada jak w dni plodne. Mam w zwiazku z tym pytanie czy ellaone nie zatrzymala dni plodnych wzieta dzien wczesniej? Czy szyjka macicy powinna byc dzieki niej zamknieta? Wyglada na to jakby nie podzialala a dni plodne rozpoczely sie jak mialy rozpoczac. Dzis wykonalam test owulacyjny. Pierwsza kreska wyszla blada natomiast druga czerwona i wyrazna. Wedlug instrukcji nie nastapila jeszcze owulacja ze wzgledu na jasniejsza kreske. Jest 18 dzien cyklu. Skoro nie ma owulacji dlaczego szyjka szyjka jest miekka i otwarta? Czy mogla nastapic owulacja mimo przyjecia ellaone i doszlo do zaplodnienia? Bardzo prosze o porade odchodze od zmyslow.",26-10-2016,"dni poprzedni
ellaone
miekka rozpulchniona
owulacja
otwarta","ellaone
prezerwatywa
owulacja
szyjka macicy","owulacja
szyjka macicy
wpadka
ellaone",zagranica,
636,25366,forummedyczne.edu.pl,Stosowanie antykoncepcji u chorych z nefropatią,"prof. Violetta Skrzypulec-Plinta Śląski Uniwersytet Medyczny, Katowice Jaki rodzaj antykoncepcji można zastosować przy nefropatii? Czy DTA są przeciwwskazane? – na nadesłane do Redakcji „Pytanie do Eksperta” odpowiada prof. Violetta Skrzypulec-Plinta. Jaki rodzaj antykoncepcji można zastosować przy nefropatii? W przypadku pacjentek z niewydolnością nerek lub będących po przeszczepieniu nerki można zastosować większość z dostępnych na rynku środków antykoncepcyjnych. Odpowiedni dobór preparatów zależy m.in. od chorób towarzyszących, zaburzeń genetycznych (np. mutacja Leiden) oraz poprzednich epizodów zakrzepowo-zatorowych u pacjentki. Pod uwagę brane są również nałogi (np. nikotynizm). Doustne środki antykoncepcyjne (OCP), które zawierają w składzie estrogen i progestagen osiągają doskonałą skuteczność, wskaźnik Pearla w populacji ogólnej wynosi 0,1. Tabletki jednoskładnikowe – zawierające progestagen – można rozważyć u chorych, które nie mogą przyjmować estrogenów. Tabletki przyjmowane są codziennie, ze wszystkich preparatów cechują się najniższą zawodnością. Octan medroksyprogesteronu w postaci iniekcji podaje się raz na 12 tygodni. Ciężkie choroby układu krążenia i depresja są względnymi przeciwwskazaniami do zastosowania tego rodzaju antykoncepcji, natomiast zaburzenia krzepnięcia są przeciwwskazaniami bezwzględnymi. Etonogestrel (implant podskórny) zakładany jest na 3 lata, a bezwzględne przeciwwskazania obejmują choroby zakrzepowo-zatorowe. Przeciwwskazania względne stanowią: cukrzyca, hipercholesterolemia, nadciśnienie tętnicze, choroby układu krążenia i warunki z zaburzeniami odporności. Kolejnym przykładem antykoncepcji z powodzeniem stosowanej w nefropatii są systemy transdermale (plastry), uwalniające progestagen i estrogen. Głównym przeciwwskazaniem jest nadmiar tkanki tłuszczowej podskórnej (m.c. >90 kg) – ze względu przede wszystkim na ograniczone możliwości dostarczenia związków do krwiobiegu i ich gromadzenie się w tkance tłuszczowej. Urządzenia wewnątrzmaciczne (IUD) cechują się bardzo wysoką skutecznością antykoncepcyjną. Jest to doskonała propozycja dla kobiet, które nie tolerują terapii hormonalnych. Warunkiem skorzystania z tego rodzaju antykoncepcji jest nieupośledzona odporność. Przeciwwskazania bezwzględne obejmują immunosupresję, np. w takich sytuacjach jak przeszczepienie nerki, nie tylko ze względu na zwiększone ryzyko zakażenia, ale także ze względu na zmniejszenie skuteczności. Ogólnie, dla populacji ogólnej profilaktyka antybiotykowa nie jest zalecana w czasie zakładania wkładki, lecz można brać ją pod uwagę w przypadku pacjentek z przewlekłą chorobą nerek, ze względu na ich względne niedobory immunologiczne związane z chorobą. W przypadku pacjentek poddawanych dializie otrzewnowej należy również uwzględnić zwiększone ryzyko podczas stosowania IUD. Czy tabletki dwuskładnikowe są przeciwwskazane? Przeciwwskazania do stosowania doustnej",10-03-2017,"bezwzględne przeciwwskazania
rodzaj antykoncepcji
względu
progestagen
nefropatii","DTA
antykoncepcja
nefropatia
progestagen
","preparaty antykoncepcyjne
nefropatia
leki przeciwwskazane","ludzie
zdrowie
zagranica","IUD
Violetta Skrzypulec-
Plinta
Śląski Uniwersytet Medyczny
Katowice
DTA
Violetta Skrzypulec-Plinta"
246,25387,forummedyczne.edu.pl,"Nastolatek, alkohol i pediatra – zagrożona młodzież","dr n. med. Elżbieta Krawczyk-Pasławska psycholog, psychoterapeuta, specjalista psychoterapii uzależnień, gabinet psychologii i psychoterapii w Krakowie „Pielęgnacji życia nie służy pośpieszne majstrowanie mechanika. Do tego potrzebna jest raczej cierpliwość ogrodnika. Wyścig technologiczny czyni z nas mechaników. Zachowajmy wytrwałość ogrodnika.” J.J. Mc Whirter Wprowadzenie W 2016 roku przeprowadzono ogólnopolskie badanie w celu oceny używania substancji psychoaktywnych, w tym alkoholu, przez młodzież. Badanie zrealizowano w ramach międzynarodowego, cyklicznego projektu European School Survey Project on Alcohol and Drugs (ESPAD).1 Objęto nim uczniów III klas szkół gimnazjalnych (15–16 lat) oraz II klas szkół ponadgimnazjalnych (17–18 lat). Jak można się spodziewać, alkohol okazał się najpopularniejszą substancją psychoaktywną – inicjację alkoholową ma za sobą 83,8% młodszych i 95,8% starszych uczniów. Prawie 50% 15–16-latków oraz 82,3% uczniów starszych przyznało się do spożywania alkoholu w miesiącu poprzedzającym badanie. Niestety aż około 40% młodszych i 65% starszych uczniów przekroczyło również próg trzeźwości, czyli upiło się. Tylko w ciągu ostatnich 30 dni przed badaniem, co najmniej raz upił się co dziesiąty 15–16-latek i co piąty 17–18-latek. Najpopularniejszym napojem alkoholowym okazało się piwo, a najmniej popularnym – wino.1 Podejmowano próby, aby na podstawie doświadczeń z okresu dojrzewania ustalić ryzyko picia problematycznego w przyszłości. Doniesienia naukowe nie są w tej kwestii spójne. Oczywiste jest, że większość osób po raz pierwszy pije alkohol w okresie dojrzewania i zdecydowana większość nastolatków spożywa go później mniej lub bardziej intensywnie. Nie jest natomiast jednoznaczne, czy prezentowany w młodości wzór picia przenosi się bezpośrednio na okres dorosłości. Polskie badanie katamnestyczne dotyczące stylu picia prowadzi do następujących wniosków: już w okresie młodzieńczym obserwuje się zróżnicowany poziom intensywność picia mała intensywność picia alkoholu w młodości nie gwarantuje umiarkowanego picia w dorosłości, natomiast intensywne picie może się przekształcić w picie zbliżone do średniego dla danej grupy wiekowej styl picia może się ukształtować już w okresie dojrzewania (>50% badanych wykazało stabilność aż do dorosłości). Co ważne, co piąta osoba ze wszystkich badanych przejawia niekorzystny i ryzykowny styl picia, który rozpoczął się w okresie młodzieńczym.2,3 Niektórzy autorzy uważają, że w im młodszym wieku rozpoczyna się używanie substancji psychoaktywnych, tym większe jest prawdopodobieństwo ciągłej eksploatacji, uzależnienia i szkodliwości w późniejszym życiu.4-7 Doświadczenie kliniczne",01-06-2017,"ogólnopolskie badanie
okresie dojrzewania
okres dorosłości
raz
specjalista psychoterapii uzależnień","ESPAD
alkohol
inicjacja alkoholowa
psychoterapeuta
","inicjacja alkoholowa
młodzież
alkohol
inicjacje alkoholowe","ekonomia
ludzie
zagranica","Elżbieta Krawczyk-Pasławska
Kraków
J.J. Mc Whirter
European School Survey Project on Alcohol and Drugs
ESPAD"
1981,25390,forummedyczne.edu.pl,Opozniona miesiaczka o 10 dni.,"Witam, miesiaczka spoznia mi sie 10 dni, zazwyczaj mam regularny cykl ktory trwa 29-33 dni. Zrobilam juz 3 testy ciazowe i nic, mam straszne bole w okolicy ledzwiowej, czasami mdlosci, zgage i czuje sie strasznie zmeczona. Czasami miewam klucia w jajnikach, piersi w ogole nie sa ani obrzmiale ani nie bola oraz mam zadnej wydzieliny co tez jest dla mnie bardzo niepokojace. Dodam ze w ciazy juz bylam lecz za bardzo nie pamietam jak to bylo na poczatku (poza mdlosciami ). Wizyte do lekarza mam dopiero za tydzien i nie wytrzymam tyle w niepewnosci , moze ktoras mial podobnie? Z gory dziekuje",15-10-2016,"piersi
jajnikach
ogole
klucia
wizyte","miesiaczka
zgaga
zywienie czlowieka
z","badania ciazowe
miesiaczka spoznia
zgage
wydzielina
mieso
",zagranica,
1348,25398,forummedyczne.edu.pl,HYDRANOVTM  Epidermalny kwas hialuronowy,"Działa 3 razy szybciej niż kwas hialuronowy - 1 dzień stosowania aktywatora – 14 dni stosowania kwasu hialuronowego HydranovTM - 3-krotnie szybciej i wydajniej zwiększa poziom nawilżenia niż czysty kwas hialuronowy. Otrzymywany jest z czerwonej Algi Fucellaria Lumbrilicalis. Aktywuje syntezę epidermalnego kwasu hialuronowego w skórze. Działając na wszystkie jej warstwy stymuluje produkcję ceramidów, odżywia i wzmacnia szczelność naskórka, wypełnia zmarszczki od wewnątrz. Zaawansowany technologicznie koncentrat wiąże cząsteczki wody również na powierzchni skóry, zwiększając poziom nawilżenia już po 4 godzinach od pojedynczej aplikacji. Skóra odzyskuje elastyczność, jędrność i gładkość, zdrowy i młody wygląd. Przeznaczony dla każdej cery wymagającej nawilżenia, regeneracji, z oznakami starzenia się. Sposób użycia: Kilka kropli koncentratu nanieś na umytą i osuszoną skórę twarzy i szyi delikatnie wklepując. Okrężnymi ruchami wykonaj masaż. Stosuj rano i wieczorem samodzielnie lub pod ulubiony krem Ava.",18-06-2016,"poziom nawilżenia
kwas hialuronowy
dni stosowania kwasu hialuronowego hydranovtm
jędrność
gładkość","alga fucellaria lumbrilicalis
kwas hialuronowy
nawilż","nawilżenie
kwas hialuronowy
nawilżanie
synteza epidermalna
oczyszczanie skóry
","uroda
zagranica",Ava
317,25413,forummedyczne.edu.pl,Ortotopowe przeszczepienie wątroby,"technika i wyniki Orthotope Lebertransplantation J. Schmidt, S.A. Müller, A. Mehrabi, P. Schemmer, M.W. Büchler Technik und Ergebnisse. Der Chirurg, 2008; 79: 112–120 Tłumaczył dr n. med. Michał Pająk Konsultował prof. dr hab. n. med. Marek Krawczyk, Katedra i Klinika Chirurgii Ogólnej, Transplantacyjnej i Wątroby, Warszawski Uniwersytet Medyczny Reprinted from „Chirurg”, Vol. 79, J. Schmidt, S.A. Müller, A. Mehrabi, P. Schemmer, M.W. Büchler, Orthotope Lebertransplantation. Technik und Ergebnisse, pp. 112–120. Copyright © 2007, with kind permission of Springer Science + Business Media. Zobacz także: komentarz prof. Marka Krawczyka Historia przeszczepiania wątroby W 1963 roku Thomas Earl Starzl wykonał pierwsze trzy operacje przeszczepienia wątroby u ludzi, przy czym najdłuższy czas przeżycia pacjenta wyniósł 23 dni.1 Do początku lat 80. XX wieku na świecie wykonano już około 330 takich zabiegów. Odsetek rocznych przeżyć sięgał wówczas 28%,2 czego przyczyny upatrywać należy między innymi w niedoskonałościach immunosupresji oraz słabo rozwiniętej technice operacyjnej. Następstwem destabilizacji układu krążenia podczas zabiegów hepatektomii przeprowadzonych techniką klasyczną, to jest z całkowitym przerwaniem powrotu żylnego do serca oraz zastojem w krążeniu wrotnym, były liczne powikłania (krwawienia, uszkodzenia jelita, hipoperfuzja nerek) prowadzące do zgonu u znacznego odsetka chorych. Chcąc poprawić warunki hemodynamiczne w trakcie zabiegu, opracowano różne systemy pomostów naczyniowych, jednak ich stosowanie było również obarczone dużym odsetkiem powikłań śródoperacyjnych (krwawienia wynikające z konieczności heparynizacji systemowej). Możliwość ich klinicznego zastosowania pojawiła się dopiero wraz z wprowadzeniem układów przewodów pokrytych heparyną, co nie wyeliminowało całkowicie powikłań związanych z ich stosowaniem (zatory powietrzne, surowiczaki, zakażenia rany w okolicy pachowej i pachwinowej oraz incydenty zakrzepowo-zatorowe).3,4 Po wprowadzeniu w 1978 roku cyklosporyny A odsetek rocznych przeżyć po przeszczepieniu wątroby zwiększył się z około 30% do 60–70%.5 Jako pierwszy technikę pozwalającą na zachowanie żyły głównej, a zarazem utrzymanie powrotu żylnego podczas hepatektomii u biorcy narządu opisał w 1968 roku sir Roy Yorke Calne.6 Zastosowanie kliniczne znalazła dopiero około 20 lat później. Przeprowadzony przez Andreasa Tzakisa zabieg określono mianem techniki piggy-back. Drogę odpływu krwi z wątroby rekonstruowano, wykonując zespolenie koniec do boku z wykorzystaniem „mankietu” uzyskanego z 3 lub 2 żył wątrobowych biorcy. Technika piggy-back jest jedną z wielu opracowanych metod rekonstrukcji drogi odpływu krwi żylnej z",04-06-2016,"wątroby
krwawienia
zabiegów
całkowitym przerwaniem powrotu żylnego
odsetek rocznych przeżyć","Orthotope Lebertransplantation
Chirurgia ogólna
Wątroba","transplantacja
przeszczepienie wątroby
chirurgia ogolna",zdrowie,"J. Schmidt
S.A. Müller
A. Mehrabi
P. Schemmer
M.W. Büchler
Orthotope Lebertransplantation
technik
und Ergebnisse
Der Chirurg
Michał Pająk
Marek Krawczyk
Katedra i Klinika Chirurgii Ogólnej, Transplantacyjnej i Wątroby
Warszawski Uniwersytet Medyczny
chirurg
Orthotope Lebertransplantation. Technik und Ergebnisse
Media
Marka Krawczyk
Thomas Earl Starzl
Roy Yorke Calne
Andreasa Tzakisa"
412,25423,forummedyczne.edu.pl,[Film] Jak dbać o stopy?,"Nagranie programu ""Na poddaszu"" w stacji TTV, w którym udział wzięła nasza podolog - Karolina Lorenc-Bryła.",03-02-2016,"podolog
stacji ttv
udział
poddaszu
karolina lorenc-bryła","Karolina Lorenc-Bryła
program ""Na poddaszu""","podolog
stacja TTV
program ""Na poddaszu""
podolog",telewizja,"na
poddasze
TTV
Karolina Lorenc-Bryła"
1305,25441,forummedyczne.edu.pl,Jak często należy piaskować zęby?,"Zaleca się piaskowanie zębów raz na pół roku, podobnie jak skaling. Osoby szczególnie predysponowane do powstawania osadu nazębnego, czyli palące tytoń, spożywające duże ilości kawy oraz herbaty, mogą wymagać piaskowania zębów w krótszym czasie. O właściwą częstotliwość piaskowania zębów najlepiej zapytać swojego dentystę, który oceni potrzebę piaskowania i/lub skalingu, najlepiej w trakcie co pół rocznej wizyty kontrolnej. Osoby użytkujące stałe aparaty ortodontyczne mogą wymagać wykonywania piaskowania zębów co 3 miesiące z uwagi na trudności w prawidłowym oczyszczaniu powierzchni zębów przy obecności zamków i drutów ortodontycznych w jamie ustnej.",29-04-2016,"piaskowania zębów
prawidłowym oczyszczaniu powierzchni zębów
uwagi
spożywające duże ilości kawy
trudności","aparat ortodontyczny
piaskowanie zębów
skaling","piaskowanie zębów
aparaty ortodontyczne
osad nazębny",,
1724,2546,medyczka,Uraz barku a sport,Witam mam pytanie czy o operacji obrąbka barku mogę uprawiać sporty walki,08-12-2017,"operacji obrąbka barku
pytanie
sporty walki","obrąbek barku
sport walki","obrąbka barku
sporty walki
obrąbek barku",sport,
1537,25480,forummedyczne.edu.pl,Jak przedłużyć korzystne efekty rehabilitacji oddechowej u c,"Jak przedłużyć korzystne efekty rehabilitacji oddechowej u chorych na POChP? Opracował: dr n. med. Filip Mejza Rehabilitacja jest jedną ze skuteczniejszych metod leczenia przewlekłej obturacyjnej choroby płuc (POChP). Zmniejsza nasilenie duszności, poprawia tolerancję wysiłku i wydolność wysiłkową, jakość życia oraz zdolność chorego do radzenia sobie z codziennymi obowiązkami. Niestety, efekty rehabilitacji zanikają wraz z upływem czasu. Autorzy omawianego badania postanowili ocenić w badaniu z randomizacją, czy u chorych na POChP kontynuowanie programu rehabilitacji w domu wydłuży utrzymywanie się korzystnego wpływu rehabilitacji oddechowej. Do badania kwalifikowano pacjentów z potwierdzonym rozpoznaniem POChP z nasileniem obturacji co najmniej 2 w skali GOLD (GOLD 2–4), w stabilnym stanie klinicznym. U wszystkich chorych zastosowano 8-tygodniowy, ambulatoryjny program rehabilitacji oddechowej. Obejmował on 3 sesje w tygodniu, trwające po 2 godziny. Składał się z ćwiczeń wysiłkowych (cykloergometr i ćwiczenia siłowe kończyn górnych) oraz fizjoterapii i sesji edukacyjnych. Po zakończeniu programu chorych losowo przydzielono do grupy, w której stosowano program kontynuowania ćwiczeń w domu albo do grupy kontrolnej. Chorych obserwowano przez 3 lata. W obu grupach po zakończeniu rehabilitacji chorym zalecano kontynuowanie ćwiczeń co najmniej 3 razy w tygodniu w domu. W grupie interwencyjnej dodatkowo stosowano: pomoc w rozpoczęciu ćwiczeń w domu (chorzy zakupili obciążenia do ćwiczeń siłowych we własnym zakresie, natomiast rower treningowy otrzymali w ramach badania) co tydzień kontrolowano chorych, zadając standardowe pytania dotyczące objawów, stosowania leków zgodnie z zaleceniami i kontynuowania ćwiczeń. Kontrola naprzemiennie była telefoniczna, albo w poradni. W czasie kontroli w poradni przeprowadzano ponadto sesję treningową podobną do tej stosowanej przez chorego w domu, jeżeli wysiłek był dobrze tolerowany zwiększano choremu obciążenie treningowe. W grupie kontrolnej stosowano standardowe wizyty kontrolne. Do badania włączono 143 chorych, z których 138 ukończyło program rehabilitacji i zostało losowo przydzielonych do grup. Program rehabilitacji zgodnie z oczekiwaniami doprowadził do znamiennej statystycznie i istotnej klinicznie poprawy wydolności wysiłkowej (dystans 6-minutowego marszu), zmniejszenia wskaźnika BODE i poprawy jakości życia. Odsetek chorych, którzy nie ukończyli badania był podobny w obu grupach. W grupie interwencyjnej, w porównaniu z grupą kontrolną stwierdzono: znamiennie większy odsetek osób regularnie kontynuujących ćwiczenia (66% vs 17%) znamiennie większe wartości wskaźnika BODE po 2 latach, ale nie po",19-03-2017,"chorych
ćwiczeń wysiłkowych
korzystne efekty rehabilitacji oddechowej
domu
autorzy omawianego badania","POChP
rehabilitacja oddechowa
leczenie przewlekłej obturacyjnej choroby płuc","rehabilitacja oddechowa
choroba płuc
terapia oddechowa","styl życia i wypoczynek
zdrowie
zagranica","POChP
Filip Mejza
BODE"
902,25485,forummedyczne.edu.pl,[Film] Nefrektomia z wykorzystaniem pojedynczego nacięcia,Nefrektomia z wykorzystaniem pojedynczego nacięcia - mobilizacja śledziony Film prezentuje mobilizację śledziony - fragment nefrektomii wykonywanej laparoskopowo z wykorzystaniem pojedynczego nacięcia.,31-12-2016,"wykorzystaniem pojedynczego nacięcia
mobilizacja śledziony film
mobilizację śledziony
fragment nefrektomii wykonywanej
nefrektomia","mobilizacja śledziony
nefrektomia","mobilizacja śledziony
nefrektomia",zdrowie,
328,25499,forummedyczne.edu.pl,Czerwone i bolące dziąsła.,"Witam, od jakiegoś czasu mam problem z dziąsłami, dół szczęki. Dziąsła są zaczerwienione i jakieś takie, mało jędrne. Dodatkowo odczuwam lekki ból. Dentystka nie bardzo wie co to może być, nie krwawią, chyba ze dźgne je szczoteczką lub za mocno nitką. Robiłam zdjęcie rentgenowskie które nic nie wykryło, obecnie czekam na czyszczenie kamienia. używam pasty meridiol, a zęby czyszcze kilka razy dziennie. Ostatnio mam wrazenie jakby oprócz dzioseł zaczynała boleć mnie broda, nie wiem czy ma to związek, ale ból brody jest taki jakby była lekko scierpnięta. pozdrawiam",17-04-2016,"lekki ból
dół szczęki
dziąsłami
dziąsła
problem","dziąsła
dziasła scierpnięcia
dziąsaki
","dziąsła
szczotka meridiol
zywienie
zęby",,
1626,25517,forummedyczne.edu.pl,Jakie są przyczyny drętwienie rąk i nóg-jest się czego bać?,"Drętwienie kończyn to objaw, który u wielu z nas budzi szczególnie silny niepokój. Jest jednym z częściej wyszukiwanych haseł w naszym serwisie. Nic dziwnego: zdarza się często, a może sygnalizować poważne problemy ze zdrowiem, w tym zawał, udar, guzy mózgu. Rzecz jednak w tym, że nie musi. Często przyczyna jest banalna i łatwa do usunięcia. Wiadomo, że strach to kiepski doradca, ale zlekceważenie ważnego sygnału organizmu może okazać się fatalne w skutkach. W przypadku drętwienia kończyn nawet rady lekarzy są skrajnie odmienne. Możemy w jednym miejscu znaleźć sugestię, by zaraz wzywać pogotowie, w innym sugestię, by zastanowić się nad własną dietą. Skąd te rozbieżności? Chociaż może trudno w to uwierzyć, obie rady mogą być sensowne. Wiele bowiem zależy od okoliczności, w jakich dochodzi do drętwienia kończyn, a także towarzyszących mu innych objawów. Jeśli panicznie się boisz, że dzieje się z tobą coś złego, możesz zadzwonić na pogotowie, zwłaszcza, że silny niepokój to czasem także objaw problemów. Osoba, która odbiera telefon, będzie w stanie racjonalnie ocenić sytuację. Nie wyśle z miejsca karetki, jeśli nie ma takiej potrzeby, ale zapyta cię o kilka rzeczy i na podstawie uzyskanych informacji doradzi, co robić dalej, na co zwrócić uwagę, gdzie szukać pomocy. Samo drętwienie może być spowodowane przez bardzo wiele czynników: od banalnych do poważnych. W przypadku tych naprawdę groźnych niemal nigdy nie występuje samoistnie, a nawet jeśli tak się dzieje na początku, szybko dołączają się inne objawy. Większość z nich nie pozostawia nam już wątpliwości, że należy błyskawicznie szukać pomocy lekarza. Kiedy bowiem tracimy kontrolę nad zwieraczami, mamy problemy z poruszaniem czy wyraźny niedowład części ciała, uczucie dezorientacji, pojawiają się trudności z mową (np. staje się bełkotliwa), pojawia się nieporównywalny z wcześniejszym ból głowy, potrzebna jest szybka interwencja specjalisty lub szczegółowa diagnostyka. Takie objawy mogą bowiem towarzyszyć groźnemu dla życia krwawieniu podpajęczynówkowemu i udarowi mózgu ( więcej na ten temat ) guzom mózgu czy wymagającemu długotrwałej rehabilitacji zespołowi Guillaina-Barrégo. Ten ostatni bywa (choć nie musi być) powikłaniem infekcji przypominających grypę, mononukleozy zakaźnej , czy zapalenia wątroby typu B. Jeśli je niedawno przechodziłeś i teraz, zamiast wracać do zdrowia, masz nowe objawy, na pewno",27-07-2016,"guzy mózgu
poważne problemy
przypadku drętwienia kończyn
pomocy
rady lekarzy","drętwienie kończyn
niepokój","diagnoza
drętwienie kończyn
diagnoza",,Guillaina-Barrégo
1193,25531,forummedyczne.edu.pl,Swędzenie odbytu,"Od tygodnia mam swędzenie odbytu, jest zaczerwienienie. Nie mam problemu ze stolcem i nie ma w nim widocznej krwi, co to może być i co na to stosować. Jeśli to ma znaczenie mam 32 lata i nie piję i nie palę. Jeśli potrzeba odpowiem na inne pytania.",26-05-2016,"swędzenie odbytu
problemu
stolcem
zaczerwienienie
tygodnia","swędzenie odbytu
zaczerwienienie
stolc","swędzenie odbytu
zaczerwienienie odbytu",,
1896,25583,forummedyczne.edu.pl,[Film] Gdzie występują mięśniaki?,Gdzie występują mięśniaki? dr Jacek Tulimowski,24-03-2016,"jacek tulimowski
mięśniaki","dr Jacek Tulimowski
mięśniaki","mięśniaki
mięsień
mięśniak
fizjologia",zdrowie,Jacek Tulimowski
754,2561,medyczka,"Nudności, osłabienie i ból serca","Dzień dobry. Od około miesiąca borykam się z pewnymi symptomami. Miesiąc temu podczas jazdy pociągiem momentalnie zaczelam mieć mdłości , przyspieszone bicie serca i myślałam że za chwilę zemdleje. 2 tygodnie później to samo się zaczęło dziać. Początkowo myślałam że może być to choroba lokomocyjna (z którą wcześniej nie miałam problemów) ale takie same symptomy zaczęły pojawiać się w domu i w pracy. Próbowałam to powiązać z tym co jem ale nie zaobserwowałam żadnej różnicy . Martwi mnie to gdyż utrudnia mi to normalne funkcjonowanie w momencie gdy podczas pracy czuje te symptomy i mam wrażenie że zaraz zemdleje... Dodam że od jakiegoś czasu męczy mnie wieczne zmęczenie. Proszę o jakakolwiek poradę. Pozdrawiam",04-12-2017,"same symptomy
pracy
miesiąc
momencie
przyspieszone bicie serca","choroba lokomocyjna
mdłości
zmęczenie","symptomy
zmęczenie
choroba lokomocyjna
zemdlenie",,
81,25633,forummedyczne.edu.pl,Wypadanie włosów telogenowe,"Telogenowe wypadanie włosów pojawia się w bezpośrednim następstwie intensywnego stresu wywołanego na przykład porodem, silną infekcją, przebytym zabiegiem chirurgicznym, czy też doznanym traumatycznym przeżyciem. Jak wiadomo znaczna większość (około 90%) włosów człowieka znajduje się w fazie anagenowej wzrostu, dzięki czemu zostaje zachowana równowaga między włosami wypadającymi a odrastającymi. W przypadku wystąpienia tego rodzaju łysienia większość tych wzrastających włosów (a także znajdujących się w fazie przejściowej) przechodzi od razu w fazę spoczynkową - telogenową. W około trzy miesiące później włosy te wypadają, powodując znaczne rozrzedzenie włosów, jednak nie dochodzi raczej do całkowitej ich utraty. Charakterystyczne jest to, że w miejsce tych włosów wyrastają nowe, odznaczające się ponownie prawidłowym cyklem rozwoju. Wobec tego w przeważającej większości przypadków leczenie telogenowego wypadania włosów nie jest w ogóle konieczne. Rzadko zdarza się, aby wypadanie włosów telogenowe miało charakter trwały. Wyjątek stanowią chroniczne przypadki, w których jednak leczeniu kładzie się nacisk na przewlekły stan czy traumę, leżącą u podstaw utraty włosów. U przyczyn telogenowego wypadania włosów może także leżeć stosowanie niektórych leków. I w takim przypadku po ustąpieniu czynnika wywołującego wypadanie włosów, następuje samoistny powrót do stanu pierwotnego. Przywrócenie przez organizm gęstości włosów sprzed wystąpienia objawów choroby następuje w około pół roku. źródło: leczymy-lysienie.pl",13-05-2016,"telogenowe wypadanie włosów
utraty
przypadku wystąpienia
przewlekły stan
traumę","anagenowa faza wzrostu
telogenowe wypadanie włosów","stres
telogenowe wypadanie włosów
stres",,
206,25639,forummedyczne.edu.pl,Zczerwieniony i swędzący aplete,Od wczoraj zauważyłem i czuję napletek. Jest zaczerwieniony w jednym miejscu i dosyć swędzi. Co to może być i co z tym zrobić.,19-01-2016,"zaczerwieniony
jednym miejscu
napletek","napletek
swędzienie","napletek
swędzia
wlasciwosci
zaczerwienie",zdrowie,
